,bps,total_points,games,time,goals,xG,assists,xA,shots,key_passes,npg,npxG,xGChain,xGBuildup,opp_shots,opp_goals,opp_xG,opp_against_shots,opp_against_goals,opp_against_xG
13548,3,1,13,286,0,0.9884005077183248,0,0.0331967063248157,4,1,0,0.2272314913570881,1.1744301989674568,0.914002001285553,464,48,51.998012396506965,529,78,71.88791078515351
13549,0,0,14,318,0,0.0993134919553995,0,0.3778975680470466,2,2,0,0.0993134919553995,0.9255801159888506,0.5184373408555984,419,51,51.5329648591578,578,68,65.14319821633399
13550,29,8,23,1686,1,0.2670318866148591,0,1.4559272825717926,7,4,1,0.2670318866148591,4.157558128237724,2.552595190703869,596,88,81.363066569902,342,43,46.43951691221446
13551,14,2,17,540,0,1.0850969199091196,0,0.3165547512471676,8,8,0,1.0850969199091196,2.7462167609483004,1.4620534982532265,410,58,62.64052318222821,562,46,55.60994510445744
13553,1,1,20,1149,2,3.126369597390294,2,1.8109254278242588,20,15,2,3.126369597390294,4.903730925172567,0.985082202591002,410,58,62.64052318222821,562,46,55.60994510445744
13556,17,2,27,2148,0,0.1806397484615445,1,2.275553598999977,6,25,0,0.1806397484615445,4.774060698226094,3.4378814958035946,575,68,83.38727551419288,390,33,44.09502522367984
13557,0,0,5,16,0,0.0223742593079805,0,0.0,1,0,0,0.0223742593079805,0.0,0.0,483,38,53.08860981464386,441,47,58.29535513930023
13559,0,0,26,1964,3,0.789253355935216,1,1.2889635181054473,13,8,3,0.789253355935216,4.219320389442146,3.0240348298102617,370,38,42.29227340361104,557,68,69.67875737557188
13560,0,0,26,1964,3,0.789253355935216,1,1.2889635181054473,13,8,3,0.789253355935216,4.219320389442146,3.0240348298102617,594,58,75.74508742708713,480,43,51.70642548147589
13561,2,1,30,1941,5,5.864552567712963,10,6.157492842525244,43,51,4,5.1033805115148425,18.33359582722187,11.644092932343485,522,70,60.43706954689696,520,63,53.026400515809655
13565,0,0,15,1154,3,1.3973288014531136,3,2.532236455008388,25,25,3,1.3973288014531136,5.9181207716465,2.848248900845647,602,94,87.5468477671966,294,33,35.49565150868148
13566,2,1,35,1562,8,8.25754163786769,2,1.4635955430567265,42,15,6,6.735200669616461,8.444588728249073,0.8141068425029516,575,68,83.38727551419288,390,33,44.09502522367984
